Quantity,UnitPrice,Discount,ShippingCost,SalesChannel,PaymentMethod,Cluster
38,1.7100000000000009,0.47,10.79,In-store,Bank Transfer,3
18,41.25,0.19,9.51,Online,paypall,5
49,29.11,0.35,23.03,Online,Bank Transfer,4
14,76.68,0.14,11.08,Online,paypall,5
47,70.16,0.48,13.98,Online,Credit Card,1
25,85.74,0.15,12.92,Online,Bank Transfer,4
8,95.65,0.04000000000000001,6.48,In-store,Bank Transfer,3
19,98.19,0.04999999999999999,12.56,Online,paypall,5
40,98.17,0.16,7.710000000000001,Online,Bank Transfer,4
49,87.56,0.19,9.830000000000002,In-store,paypall,0
41,59.51,0.39,12.0,In-store,Bank Transfer,3
41,25.59,0.010000000000000009,15.58,In-store,Credit Card,2
3,2.0899999999999963,0.47,19.22,Online,Credit Card,1
29,35.88,0.06,14.85,Online,Credit Card,1
16,82.58,0.41,27.02,In-store,Bank Transfer,3
7,70.85,0.0,23.66,In-store,Bank Transfer,3
49,14.910000000000004,0.36,5.32,Online,Bank Transfer,4
21,1.0700000000000003,0.49,15.09,Online,Bank Transfer,4
46,27.03,0.26,23.8,In-store,Credit Card,2
43,77.17,0.3,24.77,In-store,Bank Transfer,3
14,66.89,0.42,15.05,Online,paypall,5
39,66.18,0.07,27.02,Online,Bank Transfer,4
24,70.01,0.12,13.16,Online,Credit Card,1
48,27.87,0.24,19.61,Online,Bank Transfer,4
30,59.53,0.25,23.67,Online,paypall,5
33,97.96,0.23,7.25,Online,Bank Transfer,4
22,28.73,0.25,8.44,Online,Credit Card,1
10,86.71,0.36,16.86,Online,Credit Card,1
11,90.69,0.39,25.31,Online,Credit Card,1
15,40.36,0.03,6.140000000000001,In-store,Credit Card,2
48,8.39,0.08000000000000002,15.29,In-store,Bank Transfer,3
30,99.31,0.31,22.31,Online,Credit Card,1
14,10.32,0.010000000000000009,28.9,In-store,Credit Card,2
32,82.94,0.15,28.6,Online,Credit Card,1
26,35.39,0.01999999999999999,21.07,In-store,Bank Transfer,3
21,61.34,0.24,9.39,In-store,Bank Transfer,3
5,30.77,0.31,15.27,In-store,paypall,0
47,38.11,0.27,25.15,In-store,paypall,0
12,29.06,0.15,12.84,Online,paypall,5
29,21.319999999999997,0.16,10.88,In-store,Credit Card,2
21,36.85,0.15,28.34,In-store,paypall,0
25,86.68,0.01999999999999999,23.35,In-store,Bank Transfer,3
16,9.079999999999998,0.04000000000000001,18.69,In-store,Bank Transfer,3
31,2.1000000000000014,0.29,16.04,Online,Bank Transfer,4
20,24.36,0.07,18.99,In-store,Bank Transfer,3
31,84.83,0.12,23.25,In-store,Bank Transfer,3
11,93.1,0.38,8.78,Online,paypall,5
32,81.47,0.0,9.14,Online,Bank Transfer,4
48,4.740000000000002,0.22,23.11,Online,Credit Card,1
8,20.349999999999998,0.1,20.37,In-store,Credit Card,2
23,33.63,0.33,6.6,Online,Bank Transfer,4
8,68.66,0.13,26.31,In-store,Credit Card,2
2,33.4,0.16,18.88,Online,Bank Transfer,4
27,49.95,0.3,10.36,In-store,paypall,0
36,5.039999999999999,0.15,27.63,In-store,Bank Transfer,3
35,4.660000000000004,0.27,19.65,In-store,paypall,0
23,73.48,0.37,29.57,Online,Bank Transfer,4
41,11.399999999999999,0.08000000000000002,12.87,Online,Bank Transfer,4
48,28.29,0.33,16.89,Online,Bank Transfer,4
13,1.4699999999999989,0.32,8.53,Online,paypall,5
31,55.33,0.04999999999999999,25.13,Online,Credit Card,1
45,54.79,0.23,8.97,In-store,Credit Card,2
30,45.18,0.32,13.75,Online,Credit Card,1
6,78.9,0.1,12.89,Online,Bank Transfer,4
20,39.0,0.09,21.67,Online,paypall,5
26,25.56,0.48,10.4,In-store,Bank Transfer,3
36,34.13,0.32,20.69,Online,Bank Transfer,4
19,69.38,0.33,27.74,Online,paypall,5
22,94.81,0.43,25.61,In-store,Bank Transfer,3
12,70.77,0.33,17.0,In-store,Bank Transfer,3
3,99.17,0.03,11.58,Online,paypall,5
5,61.05,0.45,8.03,Online,Bank Transfer,4
5,94.77,0.13,19.81,Online,Bank Transfer,4
43,15.020000000000003,0.01999999999999999,18.34,Online,Credit Card,1
23,24.56,0.32,14.23,Online,paypall,5
14,66.41,0.22,22.68,Online,paypall,5
49,49.41,0.38,8.8,In-store,Bank Transfer,3
39,36.99,0.38,20.06,In-store,paypall,0
7,36.14,0.34,6.870000000000001,In-store,Bank Transfer,3
35,30.82,0.03,8.87,Online,Credit Card,1
38,81.28,0.18,27.77,In-store,paypall,0
14,36.13,0.34,14.95,In-store,Credit Card,2
17,8.619999999999997,0.13,19.11,Online,paypall,5
7,15.96,0.28,23.88,Online,paypall,5
20,49.92,0.4,8.34,Online,Bank Transfer,4
34,13.630000000000003,0.08000000000000002,24.2,Online,Bank Transfer,4
30,83.42,0.45,5.92,Online,Bank Transfer,4
40,91.57,0.35,29.97,In-store,paypall,0
13,7.539999999999999,0.38,26.46,In-store,Credit Card,2
6,87.27,0.08000000000000002,22.59,Online,paypall,5
27,68.95,0.45,18.1,Online,Bank Transfer,4
18,33.22,0.22,24.77,Online,Bank Transfer,4
24,25.98,0.13,16.68,Online,Bank Transfer,4
32,41.15,0.4,7.699999999999999,Online,Credit Card,1
39,60.36,0.07,24.41,In-store,Bank Transfer,3
26,24.81,0.4,26.82,In-store,Credit Card,2
34,88.14,0.07,12.45,Online,Bank Transfer,4
21,3.75,0.01999999999999999,16.33,In-store,Bank Transfer,3
28,7.960000000000001,0.35,6.640000000000001,Online,Bank Transfer,4
5,48.24,0.18,6.68,Online,paypall,5
42,34.93,0.41,17.4,Online,paypall,5
18,31.83,0.42,27.47,Online,Credit Card,1
8,46.19,0.1,12.81,In-store,Bank Transfer,3
43,57.77,0.1,11.1,Online,Credit Card,1
48,15.68,0.23,8.83,In-store,Credit Card,2
34,85.06,0.010000000000000009,29.98,In-store,Bank Transfer,3
22,35.03,0.24,8.25,Online,Bank Transfer,4
23,49.73,0.31,26.62,Online,Credit Card,1
8,57.1,0.010000000000000009,11.88,Online,Bank Transfer,4
27,65.17,0.12,28.59,In-store,paypall,0
14,12.160000000000004,0.2,12.57,In-store,Bank Transfer,3
20,84.61,0.26,11.7,In-store,Bank Transfer,3
26,7.359999999999999,0.04999999999999999,29.14,In-store,paypall,0
41,22.68,0.15,20.14,Online,Bank Transfer,4
7,10.740000000000002,0.44,17.3,In-store,Bank Transfer,3
24,76.55,0.0,8.27,Online,paypall,5
8,71.63,0.47,19.95,In-store,Bank Transfer,3
43,30.59,0.2,10.32,Online,paypall,5
7,78.42,0.04999999999999999,26.71,Online,Bank Transfer,4
37,91.0,0.42,11.14,In-store,paypall,0
4,19.27,0.07,25.98,Online,Credit Card,1
11,37.38,0.01999999999999999,8.95,In-store,Credit Card,2
4,53.39,0.5,8.56,Online,Bank Transfer,4
28,31.18,0.38,6.1,In-store,Bank Transfer,3
49,66.8,0.36,11.84,Online,Bank Transfer,4
27,83.54,0.33,9.51,In-store,Credit Card,2
17,73.34,0.23,9.780000000000001,In-store,paypall,0
40,94.43,0.29,10.59,In-store,paypall,0
6,39.39,0.29,9.85,In-store,Bank Transfer,3
17,19.049999999999997,0.01999999999999999,11.25,In-store,Bank Transfer,3
43,87.12,0.45,18.17,In-store,Bank Transfer,3
12,98.82,0.25,5.34,In-store,paypall,0
40,45.27,0.08000000000000002,21.25,In-store,paypall,0
1,19.889999999999997,0.28,13.87,Online,Bank Transfer,4
29,29.51,0.43,19.15,In-store,paypall,0
26,44.69,0.46,21.57,In-store,Bank Transfer,3
8,14.920000000000002,0.16,14.11,Online,Bank Transfer,4
30,39.72,0.08000000000000002,14.4,Online,paypall,5
30,69.96,0.27,18.7,Online,paypall,5
4,52.48,0.37,29.12,In-store,paypall,0
24,78.64,0.06,8.97,In-store,paypall,0
26,11.490000000000002,0.21,18.94,Online,Credit Card,1
8,84.06,0.25,13.35,Online,Credit Card,1
18,36.0,0.16,17.99,In-store,Credit Card,2
34,59.68,0.34,15.93,Online,Credit Card,1
40,16.309999999999995,0.3,6.51,Online,Credit Card,1
8,3.0,0.41,5.01,In-store,Credit Card,2
